packet_count,total_bytes,avg_packet_size,std_packet_size,min_packet_size,max_packet_size,window_duration,avg_inter_arrival,std_inter_arrival,tcp_ratio,udp_ratio,unique_src_ports,unique_dst_ports,bytes_per_second,packets_per_second,burst_ratio,label,file_source,window_id
64,0,0.0,0.0,0,0,2.998461961746216,0.047594634313432,0.19256217012192542,1.0,0.0,5,5,0.0,21.344276104382622,0.9047619047619048,1,reels_01,80
66,0,0.0,0.0,0,0,2.451115131378174,0.03770946355966421,0.07383640298012534,1.0,0.0,3,3,0.0,26.926519752211956,0.8923076923076924,1,reels_01,81
85,0,0.0,0.0,0,0,2.9224841594696045,0.03479147808892386,0.08500057102020982,1.0,0.0,6,6,0.0,29.084845412960757,0.9047619047619048,1,reels_01,82
84,0,0.0,0.0,0,0,1.8315110206604004,0.022066397839281934,0.045340099185245376,1.0,0.0,7,8,0.0,45.86376988859808,0.927710843373494,1,reels_01,83
1008,0,0.0,0.0,0,0,2.9682600498199463,0.0029476266631777025,0.03391254526745289,1.0,0.0,7,7,0.0,339.59288710608257,0.9940417080436942,1,reels_01,84
235,0,0.0,0.0,0,0,1.7839839458465576,0.00762386301643828,0.016985747438820163,1.0,0.0,5,5,0.0,131.72764281154164,0.9914529914529915,1,reels_01,85
78,0,0.0,0.0,0,0,2.9153881072998047,0.037862183211685774,0.0855500483118974,1.0,0.0,4,4,0.0,26.75458536882165,0.8831168831168831,1,reels_01,86
83,0,0.0,0.0,0,0,2.819833993911743,0.034388219437948085,0.08570525157902449,1.0,0.0,5,5,0.0,29.43435683774432,0.8902439024390244,1,reels_01,87
95,0,0.0,0.0,0,0,2.9888839721679688,0.0317966380017869,0.10455931312744687,1.0,0.0,8,8,0.0,31.78443890248852,0.925531914893617,1,reels_01,88
1865,0,0.0,0.0,0,0,2.98657488822937,0.0016022397469041686,0.010599288384201272,1.0,0.0,8,7,0.0,624.4611535944741,0.9973175965665236,1,reels_01,89
43,0,0.0,0.0,0,0,2.819279909133911,0.06712571212223598,0.14095753409514056,1.0,0.0,4,3,0.0,15.25212160051525,0.8095238095238095,1,reels_01,90
47,0,0.0,0.0,0,0,2.463465929031372,0.05355360715285591,0.1451765707371476,1.0,0.0,5,4,0.0,19.078810648897534,0.8913043478260869,1,reels_01,91
71,0,0.0,0.0,0,0,2.982293128967285,0.0426041875566755,0.08420808548249668,1.0,0.0,6,5,0.0,23.807183576413237,0.8571428571428571,1,reels_01,92
87,0,0.0,0.0,0,0,2.8505561351776123,0.0331460015718327,0.09127056119076425,1.0,0.0,4,4,0.0,30.520360194407893,0.9069767441860465,1,reels_01,93
111,0,0.0,0.0,0,0,2.805091142654419,0.02550082856958563,0.0785788252175148,1.0,0.0,4,4,0.0,39.570906738867045,0.9181818181818182,1,reels_01,94
1435,0,0.0,0.0,0,0,1.5404069423675537,0.0010742028886803025,0.005993456360733648,1.0,0.0,5,4,0.0,931.5720155054958,0.999302649930265,1,reels_01,95
63,0,0.0,0.0,0,0,2.9190309047698975,0.047081143625320926,0.10395053677063325,1.0,0.0,5,5,0.0,21.582505309229052,0.8387096774193549,1,reels_01,96
83,0,0.0,0.0,0,0,2.4424359798431396,0.02978580463223341,0.07222817095550563,1.0,0.0,6,6,0.0,33.98246696534928,0.9024390243902439,1,reels_01,97
1553,0,0.0,0.0,0,0,2.460901975631714,0.0015856327162575476,0.008680385533569075,1.0,0.0,6,6,0.0,631.0694271360991,0.9980670103092784,1,reels_01,98
37,0,0.0,0.0,0,0,0.7505791187286377,0.020849419964684382,0.05277865359051877,1.0,0.0,4,4,0.0,49.29526958153612,0.9722222222222222,1,reels_01,99
69,0,0.0,0.0,0,0,2.987298011779785,0.043930853114408606,0.15626753851929526,1.0,0.0,5,5,0.0,23.09779597747293,0.9117647058823529,1,reels_01,100
